title	abstract	journal	publication_date	doi	authors	pos	pos_last
Comprehensive Approach for Identifying the T Cell Subset Origin of CD3 and CD28 Antibody-Activated Chimeric Antigen Receptor-Modified T Cells.	The outcome of therapy with chimeric Ag receptor (CAR)-modified T cells is strongly influenced by the subset origin of the infused T cells. However, because polyclonally activated T cells acquire a largely CD45RO	Journal of immunology (Baltimore, Md. : 1950)	2017-05-28	10.4049/jimmunol.1601494	Schmueck-Henneresse,M|Omer,B|Shum,T|Tashiro,H|Mamonkin,M|Lapteva,N|Sharma,S|Rollins,L|Dotti,G|Reinke,P|Volk,HD|Rooney,CM	11	2
Lipocalin-2 is expressed by activated granulocytes and keratinocytes in affected skin and reflects disease activity in acne inversa/hidradenitis suppurativa.	"Acne inversa (AI)/hidradenitis suppurativa is a chronic inflammatory disease characterized by painful axillary, inguinal and perianal skin lesions with deep-seated nodules, abscesses and fistulae.
This study aimed to identify and characterize the key players in AI pathogenesis.
Epidemiological and anamnestic data for patients with AI were collected, and blood and skin samples were also taken. Healthy participants and patients with psoriasis served as controls. Assessment of samples and cultures of primary cells was performed by enzyme-linked immunosorbent assay, quantitative polymerase chain reaction on reverse transcribed mRNA, and immunohistochemistry.
Of 35 mediators quantified in the blood of patients with AI, lipocalin-2 (LCN2) appeared as one of the most significantly upregulated parameters compared with healthy participants [85·8 ± 12·2 (n = 18) vs. 41·8 ± 4·2 (n = 15); P < 0·001]. Strongly elevated LCN2 expression was present in AI lesions, with granulocytes and keratinocytes being sources of this expression. In vitro, these cells upregulated LCN2 production in response to tumour necrosis factor (TNF)-α, and a positive relationship between systemic TNF-α and LCN2 levels (r
LCN2 might serve as a blood biomarker for the objective assessment of inflammatory activity in AI. We suggest a self-amplification loop comprising TNF-α, neutrophilic granulocytes and LCN2, which contributes to the recurrent skin neutrophil infiltration in AI, clinically evident as pus."	The British journal of dermatology	2017-03-04	10.1111/bjd.15424	Wolk,K|Wenzel,J|Tsaousi,A|Witte-Händel,E|Babel,N|Zelenak,C|Volk,HD|Sterry,W|Schneider-Burrus,S|Sabat,R	7	4
Stromal Cells Act as Guardians for Endothelial Progenitors by Reducing Their Immunogenicity After Co-Transplantation.	Regeneration of injured tissues requires effective therapeutic strategies supporting vasculogenesis. The lack of instantly available autologous cell sources and immunogenicity of allogeneic endothelial (progenitor) cells limits clinical progress. Based on the immunosuppressive potency of mesenchymal stem/progenitor cells (MSCs), we investigated whether crosstalk between endothelial colony-forming progenitor cells (ECFCs) and MSCs during vasculogenesis could lower allogeneic T cell responses against ECFCs allowing long-term engraftment in vivo. Immunodeficient mice received subcutaneous grafts containing human ECFCs alone, or pairs of human ECFCs/MSCs from the same umbilical cord (UC) to study vasculogenesis in the presence of human leukocyte antigen (HLA)-mismatched human peripheral blood mononuclear cells (PBMCs). In vitro, cell surface marker changes due to interferon gamma (IFNγ) stimulation during ECFC/MSC coculture were determined and further effects on allostimulated T cell proliferation and cytotoxic lysis were measured. IFNγ-induced HLA-DR expression on ECFCs and MSCs, but both cell types had significantly less HLA-DR in cocultures. ECFC-induced T cell proliferation was abolished after MSC coculture as a result of HLA-DR downregulation and indolamin-2,3-dioxygenase activation. Additionally, allospecific CD8	Stem cells (Dayton, Ohio)	2017-01-19	10.1002/stem.2573	Souidi,N|Stolk,M|Rudeck,J|Strunk,D|Schallmoser,K|Volk,HD|Seifert,M	6	2
Sequential Targeting of CD52 and TNF Allows Early Minimization Therapy in Kidney Transplantation: From a Biomarker to Targeting in a Proof-Of-Concept Trial.	"There is high medical need for safe long-term immunosuppression monotherapy in kidney transplantation. Selective targeting of post-transplant alloantigen-(re)activated effector-T cells by anti-TNF antibodies after global T cell depletion may allow safe drug minimization, however, it is unsolved what might be the best maintenance monotherapy.
In this open, prospective observational single-centre trial, 20 primary deceased donor kidney transplant recipients received 2x20 mg Alemtuzumab (d0/d1) followed by 5 mg/kg Infliximab (d2). For 14 days all patients received only tacrolimus, then they were allocated to either receive tacrolimus (TAC, n = 13) or sirolimus (SIR, n = 7) monotherapy, respectively. Protocol biopsies and extensive immune monitoring were performed and patients were followed-up for 60 months.
TAC-monotherapy resulted in excellent graft survival (5yr 92%, 95%CI: 56.6-98.9) and function, normal histology, and no proteinuria. Immune monitoring revealed low intragraft inflammation (urinary IP-10) and hints for the development of operational tolerance signature in the TAC- but not SIR-group. Remarkably, the TAC-monotherapy was successful in all five presensitized (ELISPOT+) patients. However, recruitment into SIR-arm was stopped (after n = 7) because of high incidence of proteinuria and acute/chronic rejection in biopsies. No opportunistic infections occurred during follow-up.
In conclusion, our novel fast-track TAC-monotherapy protocol is likely to be safe and preliminary results indicated an excellent 5-year outcome, however, a full-scale study will be needed to confirm our findings.
EudraCT Number: 2006-003110-18."	PloS one	2017-01-14	10.1371/journal.pone.0169624	Viklicky,O|Hruba,P|Tomiuk,S|Schmitz,S|Gerstmayer,B|Sawitzki,B|Miqueu,P|Mrazova,P|Tycova,I|Svobodova,E|Honsova,E|Janssen,U|Volk,HD|Reinke,P	13	2
CD31+ Cells From Peripheral Blood Facilitate Bone Regeneration in Biologically Impaired Conditions Through Combined Effects on Immunomodulation and Angiogenesis.	Controlled revascularization and inflammation are key elements regulating endogenous regeneration after (bone) tissue trauma. Peripheral blood-derived cell subsets, such as regulatory T-helper cells and circulating (endothelial) progenitor cells, respectively, can support endogenous tissue healing, whereas effector T cells that are associated with an aged immune system can hinder bone regeneration. CD31 is expressed by diverse leukocytes and is well recognized as a marker of circulating endothelial (precursor) cells; however, CD31 is absent from the surface of differentiated effector T cells. Thus, we hypothesized that by separating the inhibitory fractions from the supportive fractions of circulating cells within the peripheral blood (PB) using the CD31 marker, bone regeneration in biologically compromised conditions, such as those observed in aged patients, could be improved. In support of our hypothesis, we detected an inverse correlation between CD31+ cells and effector T cells in the hematomas of human fracture patients, dependent on the age of the patient. Furthermore, we demonstrated the regenerative capacity of human PB-CD31+ cells in vitro. These findings were translated to a clinically relevant rat model of impaired bone healing. The transplantation of rat PB-CD31+ cells advanced bone tissue restoration in vivo and was associated with an early anti-inflammatory response, the stimulation of (re)vascularization, and reduced fibrosis. Interestingly, the depletion or enrichment of the highly abundant CD31+/14+ monocytes from the mixed CD31+ cell population diminished tissue regeneration at different levels, suggesting combined effects within the PB-CD31+ subsets. In summary, an intraoperative enrichment of PB-CD31+ cells might be a novel option to facilitate endogenous regeneration under biologically impaired situations by supporting immunomodulation and vascularization. © 2016 American Society for Bone and Mineral Research.	Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	2016-12-16	10.1002/jbmr.3062	Sass,FA|Schmidt-Bleek,K|Ellinghaus,A|Filter,S|Rose,A|Preininger,B|Reinke,S|Geissler,S|Volk,HD|Duda,GN|Dienelt,A	9	3
MMP8 Is Increased in Lesions and Blood of Acne Inversa Patients: A Potential Link to Skin Destruction and Metabolic Alterations.	Acne inversa (AI; also designated as hidradenitis suppurativa) is a chronic inflammatory disease with still unknown pathogenesis that affects the intertriginous skin of perianal, inguinal, and axillary sites. It leads to painful nodules, abscesses, and fistulas with malodorous secretion and is frequently associated with metabolic alterations. Here, we demonstrate that one of the most highly upregulated molecules in AI lesions is matrix metalloproteinase 8 (MMP8), an enzyme specialized in the degradation of extracellular matrix components and the HDL component apolipoprotein A-I. Granulocytes, which were present in AI lesions, secreted high amounts of MMP8 especially after TNF-	Mediators of inflammation	2016-11-16	10.1155/2016/4097574	Tsaousi,A|Witte,E|Witte,K|Röwert-Huber,HJ|Volk,HD|Sterry,W|Wolk,K|Schneider-Burrus,S|Sabat,R	5	5
Clinical Development of Cell Therapies: Setting the Stage for Academic Success.	Cellular therapies have potential to treat a wide range of diseases with autologous immunotherapies showing unprecedented therapeutic promise in clinical trials. Such therapies are mainly developed by academic researchers applying small-scale production, targeting rare and unmet medical needs. Here, we highlight the clinical translation of immunotherapy product in an academic setting, which may serve as a success model for early academic development of cell-based therapeutics.	Clinical pharmacology and therapeutics	2016-10-07	10.1002/cpt.523	Abou-El-Enein,M|Volk,HD|Reinke,P	2	2
Wild immunology assessed by multidimensional mass cytometry.	"A great part of our knowledge on mammalian immunology has been established in laboratory settings. The use of inbred mouse strains enabled controlled studies of immune cell and molecule functions in defined settings. These studies were usually performed in specific-pathogen free (SPF) environments providing standardized conditions. In contrast, mammalians including humans living in their natural habitat are continuously facing pathogen encounters throughout their life. The influences of environmental conditions on the signatures of the immune system and on experimental outcomes are yet not well defined. Thus, the transferability of results obtained in current experimental systems to the physiological human situation has always been a matter of debate. Studies elucidating the diversity of ""wild immunology"" imprintings in detail and comparing it with those of ""clean"" lab mice are sparse. Here, we applied multidimensional mass cytometry to dissect phenotypic and functional differences between distinct groups of laboratory and pet shop mice as a source for ""wild mice"". For this purpose, we developed a 31-antibody panel for murine leukocyte subsets identification and a 35-antibody panel assessing various cytokines. Established murine leukocyte populations were easily identified and diverse immune signatures indicative of numerous pathogen encounters were classified particularly in pet shop mice and to a lesser extent in quarantine and non-SPF mice as compared to SPF mice. In addition, unsupervised analysis identified distinct clusters that associated strongly with the degree of pathogenic priming, including increased frequencies of activated NK cells and antigen-experienced B- and T-cell subsets. Our study unravels the complexity of immune signatures altered under physiological pathogen challenges and highlights the importance of carefully adapting laboratory settings for immunological studies in mice, including drug and therapy testing. © 2016 International Society for Advancement of Cytometry."	Cytometry. Part A : the journal of the International Society for Analytical Cytology	2016-07-13	10.1002/cyto.a.22906	Japp,AS|Hoffmann,K|Schlickeiser,S|Glauben,R|Nikolaou,C|Maecker,HT|Braun,J|Matzmohr,N|Sawitzki,B|Siegmund,B|Radbruch,A|Volk,HD|Frentsch,M|Kunkel,D|Thiel,A	12	4
Putting a price tag on novel autologous cellular therapies.	Cell therapies, especially autologous therapies, pose significant challenges to researchers who wish to move from small, probably academic, methods of manufacture to full commercial scale. There is a dearth of reliable information about the costs of operation, and this makes it difficult to predict with confidence the investment needed to translate the innovations to the clinic, other than as small-scale, clinician-led prescriptions. Here, we provide an example of the results of a cost model that takes into account the fixed and variable costs of manufacture of one such therapy. We also highlight the different factors that influence the product final pricing strategy. Our findings illustrate the need for cooperative and collective action by the research community in pre-competitive research to generate the operational models that are much needed to increase confidence in process development for these advanced products.	Cytotherapy	2016-06-12	10.1016/j.jcyt.2016.05.005	Abou-El-Enein,M|Bauer,G|Medcalf,N|Volk,HD|Reinke,P	4	2
Cellular and humoral influenza-specific immune response upon vaccination in patients with common variable immunodeficiency and unclassified antibody deficiency.	"Immunization against seasonal influenza with inactivated vaccine is recommended for patients with common variable immunodeficiency (CVID). However, humoral vaccine response in CVID patients is frequently impaired and current knowledge on T cell vaccine response in CVID and other patients with antibody deficiency is poor.
In the present study, we comparatively analyzed the antibody and T cellular immune response of patients with CVID and unclassified antibody deficiency to influenza vaccination in the season 2013-2014.
Eight patients with CVID, 8 patients with unclassified antibody deficiency and 9 healthy controls were vaccinated with a single dose of non-adjuvanted seasonal influenza vaccine. Before and 3 weeks after the vaccination antibody titers against the strains A/California/7/2009, A/Texas/50/2012, and B/Massachusetts/02/2012 included in the vaccine were measured by hemagglutination inhibition testing. Additionally, vaccine-specific T cell cytokine response was determined by stimulation with the complete vaccine in vitro.
Whereas all healthy controls responded to vaccination with serum antibody titers, only 1/8 CVID patients and 4/8 patients with unclassified antibody deficiency showed a response against at least 1 of the 3 vaccine strains. However, 7/8 of the CVID and 6/8 of the patients with unclassified antibody deficiency had similar frequencies of vaccine-induced IFN-γ, TNF-α and IL-2 producing CD40L(+) T cells as the control group.
Our data suggest that most CVID and unclassified antibody deficiency patients benefit from seasonal influenza vaccination by mounting a cellular response."	Vaccine	2016-04-08	10.1016/j.vaccine.2016.03.091	Hanitsch,LG|Löbel,M|Mieves,JF|Bauer,S|Babel,N|Schweiger,B|Wittke,K|Grabowski,P|Volk,HD|Scheibenbogen,C	9	2
TGFβ-dependent expression of PD-1 and PD-L1 controls CD8(+) T cell anergy in transplant tolerance.	CD8(+) T cell anergy is a critical mechanism of peripheral tolerance, poorly investigated in response to immunotherapy. Here, using a pancreatic islet allograft model and CD3 antibody therapy, we showed, by single cell gene profiling, that intragraft CD8(+) lymphocytes coexpressing granzyme B and perforin were selectively depleted through the Fas/FasL pathway. This step led to long-standing anergy of the remaining CD8(+) T cells marked by the absence of cytotoxic/inflammatory gene expression also confirmed by transcriptome analysis. This sustained unresponsiveness required the presence of the alloantigens. Furthermore, tissue-resident CD8(+) lymphocytes produced TGFβ and expressed the inhibitory receptors PD-1 and PD-L1. Blockade of TGFβ downregulated PD-1 and PD-L1 expression and precipitated graft rejection. Neutralizing PD-1, PD-L1 or TGFβRII signaling in T cells also abrogated CD3 antibody-induced tolerance. These studies unravel novel mechanisms underlying CD8(+) T cell anergy and reveal a cell intrinsic regulatory link between the TGFβ and the PD-1/PD-L1 pathways. 	eLife	2016-01-30	10.7554/eLife.08133	Baas,M|Besançon,A|Goncalves,T|Valette,F|Yagita,H|Sawitzki,B|Volk,HD|Waeckel-Enée,E|Rocha,B|Chatenoud,L|You,S	7	5
Interleukin-29 induces epithelial production of CXCR3A ligands and T-cell infiltration.	"Psoriasis is considered as a model for chronic immune-mediated disorders. Th17-cells are pivotal players in those diseases. Recently, we demonstrated that Th17-cells produce interleukin (IL)-29 and that IL-29 is highly present in psoriatic lesions. Whether IL-29, with its action on epithelial cells and melanocytes, contributes to psoriasis pathogenesis, was unknown so far. Analysis of IL-29-treated human keratinocytes revealed induction of the chemokines CXCL10, CXCL11, and, to a much lesser extent, CXCL9. Unlike these CXCR3A ligands, known to attract Th1-, CD8(+), NK-, and Th1/Th17 transient cells, no influence was found on chemokines attracting other immune cell populations or on molecules modulating the CXCR3A/CXCR3A ligand interaction. CXCR3A ligand expression was also induced by IL-29 in melanocytes and in epidermis models and explanted skin. Regarding other psoriasis-relevant cytokines, interferon-γ and, less potently, tumor necrosis factor-α and IL-1β shared and strengthened IL-29's capacity. Murine IL-29 counterpart injected into mouse skin provoked local CXCL10 and CXCL11 expression, T-cell infiltration, and, in consequence, skin swelling. The elevated IL-29 expression in psoriatic lesions was associated with upregulation of CXCR3A ligands compared to non-lesional skin of these patients and to the skin of healthy donors and atopic dermatitis patients, which lack IL-29 production. Importantly, neutralization of IL-29 reduced CXCR3A ligand levels in explant cultures of psoriatic lesions. Finally, elevated blood CXCL11 levels were found in psoriasis that might be useful for monitoring lesional activity of the IL-29 axis. In summary, the Th17-cytokine IL-29 induces specific chemokines and, in consequence, provokes skin infiltration of potentially pathogenic T-cells.
IL-29 selectively induces CXCR3A-binding chemokines (CXCL9, CXCL10, CXCL11) in skin cells. Murine IL-29 counterpart induces skin T-cell infiltration and inflammation in mice. CXCR3A ligands are IL-29-dependently increased in lesional skin of psoriasis patients. CXCR3A ligand levels in psoriatic skin correlate with epidermal T-cell numbers. Increased blood CXCL11 levels in psoriasis may be a biomarker for local IL-29 action."	Journal of molecular medicine (Berlin, Germany)	2015-11-28	10.1007/s00109-015-1367-y	Witte,E|Kokolakis,G|Witte,K|Warszawska,K|Friedrich,M|Christou,D|Kirsch,S|Sterry,W|Volk,HD|Sabat,R|Wolk,K	9	3
Cholinergic Pathway Suppresses Pulmonary Innate Immunity Facilitating Pneumonia After Stroke.	"Temporary immunosuppression has been identified as a major risk factor for the development of pneumonia after acute central nervous system injury. Although overactivation of the sympathetic nervous system was previously shown to mediate suppression of systemic cellular immune responses after stroke, the role of the parasympathetic cholinergic anti-inflammatory pathway in the antibacterial defense in lung remains largely elusive.
The middle cerebral artery occlusion model in mice was used to examine the influence of the parasympathetic nervous system on poststroke immunosuppression. We used heart rate variability measurement by telemetry, vagotomy, α7 nicotinic acetylcholine receptor-deficient mice, and parasympathomimetics (nicotine, PNU282987) to measure and modulate parasympathetic activity.
Here, we demonstrate a rapidly increased parasympathetic activity in mice after experimental stroke. Inhibition of cholinergic signaling by either vagotomy or by using α7 nicotinic acetylcholine receptor-deficient mice reversed pulmonary immune hyporesponsiveness and prevented pneumonia after stroke. In vivo and ex vivo studies on the role of α7 nicotinic acetylcholine receptor on different lung cells using bone marrow chimeric mice and isolated primary cells indicated that not only macrophages but also alveolar epithelial cells are a major cellular target of cholinergic anti-inflammatory signaling in the lung.
Thus, cholinergic pathways play a pivotal role in the development of pulmonary infections after acute central nervous system injury."	Stroke	2015-10-10	10.1161/STROKEAHA.115.008989	Engel,O|Akyüz,L|da Costa Goncalves,AC|Winek,K|Dames,C|Thielke,M|Herold,S|Böttcher,C|Priller,J|Volk,HD|Dirnagl,U|Meisel,C|Meisel,A	10	4
Frequent IgG subclass and mannose binding lectin deficiency in patients with chronic fatigue syndrome.	Chronic fatigue syndrome (CFS) is a severe disease characterized by various symptoms of immune dysfunction. CFS onset is typically with an infection and many patients suffer from frequently recurrent viral or bacterial infections. Immunoglobulin and mannose binding lectin (MBL) deficiency are frequent causes for increased susceptibility to infections. In this study we retrospectively analysed 300 patients with CFS for immunoglobulin and MBL levels, and B-cell subset frequencies. 25% of the CFS patients had decreased serum levels of at least one antibody class or subclass with IgG3 and IgG4 subclass deficiencies as most common phenotypes. However, we found elevated immunoglobulin levels with an excess of IgM and IgG2 in particular in another 25% of patients. No major alteration in numbers of B cells and B-cell subsets was seen. Deficiency of MBL was found in 15% of the CFS patients in contrast to 6% in a historical control group. In a 2nd cohort of 168 patients similar frequencies of IgG subclass and MBL deficiency were found. Thus, humoral immune defects are frequent in CFS patients and are associated with infections of the respiratory tract. 	Human immunology	2015-10-03	10.1016/j.humimm.2015.09.028	Guenther,S|Loebel,M|Mooslechner,AA|Knops,M|Hanitsch,LG|Grabowski,P|Wittke,K|Meisel,C|Unterwalder,N|Volk,HD|Scheibenbogen,C	10	2
The Pelargonium sidoides Extract EPs 7630 Drives the Innate Immune Defense by Activating Selected MAP Kinase Pathways in Human Monocytes.	Pelargonium sidoides is a medical herb and respective extracts are used very frequently for the treatment of respiratory tract infections. However, the effects of Pelargonium sidoides and a special extract prepared from its roots (EPs 7630) on human immune cells are not fully understood. Here we demonstrate that EPs 7630 induced a rapid and dose-dependent production of TNF-α, IL-6, and IL-10 by human blood immune cells. This EPs 7630-induced cytokine profile was more pro-inflammatory in comparison with the profile induced by viral or bacterial infection-mimicking agents. The search for EPs 7630 target cells revealed that T-cells did not respond to EPs 7630 stimulation by production of TNF-α, IL-6, or IL-10. Furthermore, pretreatment of T-cells with EPs 7630 did not modulate their TNF-α, IL-6, and IL-10 secretion during subsequent activation. In contrast to lymphocytes, monocytes showed clear intracellular TNF-α staining after EPs 7630 treatment. Accordingly, EPs 7630 predominantly provoked activation of MAP kinases and inhibition of p38 strongly reduced the monocyte TNF-α production. The pretreatment of blood immune cells with EPs 7630 lowered their secretion of TNF-α and IL-10 and caused an IL-6 dominant response during second stimulation with viral or bacterial infection-mimicking agents. In summary, we demonstrate that EPs 7630 activates human monocytes, induces MAP kinase-dependent pro-inflammatory cytokines in these cells, and specifically modulates their production capacity of mediators known to lead to an increase of acute phase protein production in the liver, neutrophil generation in the bone marrow, and the generation of adaptive Th17 and Th22 cells. 	PloS one	2015-09-26	10.1371/journal.pone.0138075	Witte,K|Koch,E|Volk,HD|Wolk,K|Sabat,R	3	3
Antibodies to β adrenergic and muscarinic cholinergic receptors in patients with Chronic Fatigue Syndrome.	Infection-triggered disease onset, chronic immune activation and autonomic dysregulation in CFS point to an autoimmune disease directed against neurotransmitter receptors. Autoantibodies against G-protein coupled receptors were shown to play a pathogenic role in several autoimmune diseases. Here, serum samples from a patient cohort from Berlin (n=268) and from Bergen with pre- and post-treatment samples from 25 patients treated within the KTS-2 rituximab trial were analysed for IgG against human α and β adrenergic, muscarinic (M) 1-5 acetylcholine, dopamine, serotonin, angiotensin, and endothelin receptors by ELISA and compared to a healthy control cohort (n=108). Antibodies against β2, M3 and M4 receptors were significantly elevated in CFS patients compared to controls. In contrast, levels of antibodies against α adrenergic, dopamine, serotonin, angiotensin, and endothelin receptors were not different between patients and controls. A high correlation was found between levels of autoantibodies and elevated IgG1-3 subclasses, but not with IgG4. Further patients with high β2 antibodies had significantly more frequently activated HLA-DR+ T cells and more frequently thyreoperoxidase and anti-nuclear antibodies. In patients receiving rituximab maintenance treatment achieving prolonged B-cell depletion, elevated β2 and M4 receptor autoantibodies significantly declined in clinical responder, but not in non-responder. We provide evidence that 29.5% of patients with CFS had elevated antibodies against one or more M acetylcholine and β adrenergic receptors which are potential biomarkers for response to B-cell depleting therapy. The association of autoantibodies with immune markers suggests that they activate B and T cells expressing β adrenergic and M acetylcholine receptors. Dysregulation of acetylcholine and adrenergic signalling could also explain various clinical symptoms of CFS. 	Brain, behavior, and immunity	2015-09-25	10.1016/j.bbi.2015.09.013	Loebel,M|Grabowski,P|Heidecke,H|Bauer,S|Hanitsch,LG|Wittke,K|Meisel,C|Reinke,P|Volk,HD|Fluge,Ø|Mella,O|Scheibenbogen,C	9	4
Regulatory T cell-mediated anti-inflammatory effects promote successful tissue repair in both indirect and direct manners.	Regulatory T cells (Tregs) offer new immunotherapeutic options to control undesired immune reactions, such as those in transplant rejection and autoimmunity. In addition, tissue repair and regeneration depend on a multitude of tightly regulated immune and non-immune cells and signaling molecules. There is mounting evidence that adequate innate responses, and even more importantly balanced adaptive immune responses, are key players in the tissue repair and regeneration processes, even in absence of any immune-related disease or infection. Thus, the anti-inflammatory and anti-apoptotic capacities of Treg can affect not only the effector immune response, creating the appropriate immune environment for successful tissue repair and regeneration, but growing evidence shows that they also have direct effects on tissue cell functions. Here we summarize the present views on how Treg might support tissue regeneration by direct control of undesired immune reactivity and also by direct interaction with non-immune tissue cells. We describe tissue-resident Treg and their specific phenotypes in skin, visceral adipose tissue, and skeletal muscle. In addition, we touch on the topic of osteoimmunology, discussing the direct interactions of Treg with bone-forming cells, such as osteoblasts and their mesenchymal stromal cell (MSC) progenitors-a field which is under-investigated. We hypothesize a cross-talk between Treg and bone-forming cells through the CD39-CD73-(adenosine)-adenosine receptor pathway, which might also potentiate the differentiation of MSCs, thus facilitating bone regeneration. This hypothesis may provide a road map for further investigations on the cross-talk between the immune and the skeletal system, and also enable the development of better strategies to promote bone repair and regeneration. 	Frontiers in pharmacology	2015-09-22	10.3389/fphar.2015.00184	Lei,H|Schmidt-Bleek,K|Dienelt,A|Reinke,P|Volk,HD	5	1
Altered B-cell subsets and functional B-cell defects in selective IgM deficiency.	Primary selective IgM deficiency (sIgM) is characterized by diminished serum IgM, infections and autoimmunity. Although there is some evidence of B-cell defects the pathogenesis of sIgM is poorly understood. We determined peripheral B-cell subsets and IgM-expression levels in 31 adult sIgM patients by flow cytometry. In a subset of patients B-cell subset alterations and antibody-secreting cells were determined by flow cytometry and ELISpot assay after in vitro differentiation.Patients had significantly increased transitional, decreased IgM only, switched and non-switched memory B cells and decreased membrane IgM-expression levels on memory B-cell subsets compared to healthy controls. A strongly diminished B-cell differentiation and expansion capacity was observed in 5/6 investigated patients. Severely reduced IgM-secreting capacity was detected in 2/6 patients.Taken together, our results show altered B-cell subsets and severe functional B-cell defects in sIgM. This may provide a diagnostic tool and basis for subclassification of patients to study the pathogenetic background.	Clinical immunology (Orlando, Fla.)	2015-09-08	10.1016/j.clim.2015.08.017	Mensen,A|Krause,T|Hanitsch,LG|Meisel,C|Kleint,ME|Volk,HD|Na,IK|Scheibenbogen,C	6	3
Polymorphism in COMT is associated with IgG3 subclass level and susceptibility to infection in patients with chronic fatigue syndrome.	"Chronic fatigue syndrome (CFS) is considered as a neuroimmunological disease but the etiology and pathophysiology is poorly understood. Patients suffer from sustained exhaustion, cognitive impairment and an increased sensitivity to pain and sensory stimuli. A subset of patients has frequent respiratory tract infections (RRTI). Dysregulation of the sympathetic nervous system and an association with genetic variations in the catechol-O-methyltransferase (COMT) and glucocorticoid receptor genes influencing sympathetic and glucocorticoid metabolism were reported in CFS. Here, we analyzed the prevalence of SNPs of COMT and glucocorticoid receptor-associated genes in CFS patients and correlated them to immunoglobulin levels and susceptibility to RRTI.
We analyzed blood cells of 74 CFS patients and 76 healthy controls for polymorphisms in COMT, FKBP5 and CRHR1 by allelic discrimination PCR. Serum immunoglobulins were determined by immunoturbidimetric technique, cortisol levels by ECLIA.
Contrary to previous reports, we found no difference between CFS patients and healthy controls in the prevalence of SNPs for COMT, FKBP5 and CRHR1. In patients with the Met/Met variant of COMT rs4680 we observed enhanced cortisol levels providing evidence for its functional relevance. Both enhanced IgE and diminished IgG3 levels and an increased susceptibility to RRTI were observed in CFS patients with the Met/Met variant. Such an association was not observed in 68 non-CFS patients with RRTI.
Our results indicate a relationship of COMT polymorphism rs4680 with immune dysregulation in CFS providing a potential link for the association between stress and infection susceptibility in CFS."	Journal of translational medicine	2015-08-15	10.1186/s12967-015-0628-4	Löbel,M|Mooslechner,AA|Bauer,S|Günther,S|Letsch,A|Hanitsch,LG|Grabowski,P|Meisel,C|Volk,HD|Scheibenbogen,C	9	2
Interleukin-10 receptor-1 expression in monocyte-derived antigen-presenting cell populations: dendritic cells partially escape from IL-10's inhibitory mechanisms.		Genes and immunity	2015-07-24	10.1038/gene.2015.9	von Haehling,S|Wolk,K|Höflich,C|Kunz,S|Grünberg,BH|Döcke,WD|Reineke,U|Asadullah,K|Sterry,W|Volk,HD|Sabat,R	10	2
Mesenchymal Stromal Cells Prevent Allostimulation In Vivo and Control Checkpoints of Th1 Priming: Migration of Human DC to Lymph Nodes and NK Cell Activation.	Although the immunomodulatory potency of mesenchymal stromal cells (MSC) is well established, the mechanisms behind are still not clear. The crosstalk between myeloid dendritic cells (mDC) and natural killer (NK) cells and especially NK cell-derived interferon-gamma (IFN-γ) play a pivotal role in the development of type 1 helper (Th1) cell immune responses. While many studies explored the isolated impact of MSC on either in vitro generated DC, NK, or T cells, there are only few data available on the complex interplay between these cells. Here, we investigated the impact of MSC on the functionality of human mDC and the consequences for NK cell and Th1 priming in vitro and in vivo. In critical limb ischemia patients, who have been treated with allogeneic placenta-derived mesenchymal-like stromal cells (PLX-PAD), no in vivo priming of Th1 responses toward the major histocompatibility complex (MHC) mismatches could be detected. Further in vitro studies revealed that mDC reprogramming could play a central role for these effects. Following crosstalk with MSC, activated mDC acquired a tolerogenic phenotype characterized by reduced migration toward CCR7 ligand and impaired ability to stimulate NK cell-derived IFN-γ production. These effects, which were strongly related to an altered interleukin (IL)-12/IL-10 production by mDC, were accompanied by an effective prevention of Th1 priming in vivo. Our findings provide novel evidence for the regulation of Th1 priming by MSC via modulation of mDC and NK cell crosstalk and show that off-the-shelf produced MHC-mismatched PLX-PAD can be used in patients without any sign of immunogenicity.	Stem cells (Dayton, Ohio)	2015-07-18	10.1002/stem.2104	Consentius,C|Akyüz,L|Schmidt-Lucke,JA|Tschöpe,C|Pinzur,L|Ofir,R|Reinke,P|Volk,HD|Juelke,K	8	2
